loca_2,representative_point_lat,representative_point_lng
KANGAROO POINT,-27.473864069999998,153.03678476501284
KANIGAN,-25.93909725,152.58512974382637
KANIMBLA,-16.9206391,145.72247991543253
KAPALDO,-25.06769229,151.14316830056882
KARALEE,-27.559080035,152.82528582298946
KARANA DOWNS,-27.54253726,152.82337706907714
KARARA,-28.18763251,151.58618687353004
KARAWATHA,-27.633252605,153.08367726749447
BAPAUME,-28.576758310000002,151.84375585454643
KARRABIN,-27.59608024,152.70366579592286
KARRAGARRA ISLAND,-27.63954609,153.37275764423532
KARRON,-17.58132394,141.78464413205322
KARUMBA,-17.477805845,140.88567510867273
KAWANA,-23.33941161,150.50648586369152
KAWL KAWL,-26.18630474,151.72555052012854
KAWUNGAN,-25.308107585000002,152.8438596536264
KEARNEYS SPRING,-27.60326415,151.94313005312705
KEDRON,-27.40449703,153.03145443758098
KELSEY CREEK,-20.430958135,148.48906939866154
BARAKULA,-26.327086350000002,150.62611263413547
KELSO,-19.388712169999998,146.71690168693527
KELVIN GROVE,-27.45017156,153.0126704582282
KELVINHAUGH,-27.39179147,151.75760108098848
KEMMIS,-21.6087867,148.35728253166266
KENILWORTH,-26.635231830000002,152.61663881243442
KENMORE,-27.515662499999998,152.93766907725552
KENMORE HILLS,-27.493891455,152.92843890320256
KENNEDY,-18.190010065,145.96542549849204
KENSINGTON,-24.911584405,152.3225153256473
KENSINGTON GROVE,-27.53297612,152.47320612380085
BARALABA,-24.28800913,149.93157448544224
KENTS LAGOON,-27.898660515,152.62896636434766
KENTS POCKET,-27.987540600000003,152.660534410119
KENTVILLE,-27.47354392,152.42181607130345
KEPERRA,-27.412506065,152.95254807193177
KEPNOCK,-24.874796744999998,152.37571936068156
KEPPEL SANDS,-23.33725208,150.80645130457145
KERRY,-28.103761024999997,153.02764572206917
KEWARRA BEACH,-16.786435305,145.67743571409824
KEYSLAND,-26.221058929999998,151.73921399129318
KHOLO,-27.52245501,152.77247397773795
BARAMBAH,-26.310377584999998,152.13018123278584
KHOSH BULDUK,-22.999896165000003,148.00842102226534
KIA ORA,-26.01352327,152.7703065824338
KIAMBA,-26.573446695,152.90732314918193
KIANGA,-24.687360055,150.0180724087627
KIDAMAN CREEK,-26.64769037,152.7677137610993
KIELS MOUNTAIN,-26.657899970000003,153.00741440028764
KILBIRNIE,-27.23346969,151.82040998075513
KILCOY,-26.941788235,152.56113486858078
KILCUMMIN,-22.33932888,147.5646360301883
KILKIVAN,-26.080133725,152.24739226270395
BARCALDINE,-23.60064743,145.32410703618734
KILLALOE,-16.49241809,145.42973413138722
KILLARNEY,-28.34842715,152.29991524790995
KILMOREY FALLS,-26.102238540000002,148.20886452724778
KIMBERLEY,-16.27412026,145.44724786764453
KIN KIN,-26.25862443,152.87056752967766
