loca_2,centroid_lat,centroid_lng
MOUNT VICTORIA,-33.576315697808354,150.2473247701217
MOUNT VIEW,-32.84815498174472,151.2674441243252
MOUNT VINCENT,-32.93001195487895,151.47505131784683
MOUNT WARNING,-28.38974421039258,153.2759927021916
MOUNT WARRIGAL,-34.549845658295304,150.84279694209664
MOUNT WERONG,-34.09167958998874,149.94506769189346
MOUNT WHITE,-33.4496259314723,151.18848621649767
MOUNT WILSON,-33.50403471267135,150.38832572844336
MOUNTAIN CREEK,-35.77938261690934,147.14392138635827
MOUNTAIN LAGOON,-33.43759322747333,150.62628009919715
MOUNTAIN TOP,-28.617118876973016,153.17968845220815
MOUNTAIN VIEW,-29.58658633048314,152.93434784545397
MOWBRAY PARK,-34.15481599531066,150.55018934492512
MOZART,-33.82297053185485,149.82983642744315
MUDGEE,-32.61445968347228,149.57332844424215
MULBRING,-32.8963869948383,151.47819519575398
MULGOA,-33.826913161089465,150.64299872484315
BEN BULLEN,-33.230472469251374,150.03613938818742
MULGRAVE,-33.627112754454146,150.8297928659864
MULGUTHRIE,-33.178189581056216,147.37226040098773
MULI MULI,-28.418238567499568,152.58338476867954
MULLA,-31.820803144597242,147.33968511484753
MULLA CREEK,-31.143236756053557,151.1778385621574
MULLALEY,-31.15021830798994,149.91106043412228
MULLAMUDDY,-32.68709315530938,149.66862790317194
MULLAWAY,-30.081167977354845,153.19626284373177
MULLENGANDRA,-35.89724788332862,147.18218326932663
MULLENGUDGERY,-31.71176045546764,147.4802352195442
BEN LOMOND,-30.009432788368485,151.65059496099462
MULLION,-35.143603365473936,148.87505705043486
MULLION CREEK,-33.08794525684348,149.18340419958216
MULLOON,-35.29818493307124,149.60881108035335
MULLUMBIMBY,-28.546936431200827,153.49698164960574
MULLUMBIMBY CREEK,-28.552280365755596,153.44549125741747
MULWALA,-35.92379494670684,146.0480707951287
MULYANDRY,-33.56267332080231,148.16419617465843
MUMBIL,-32.71887973965677,149.0782157816899
MUMBLEBONE PLAIN,-31.497237482600717,147.64950412714677
MUMBULLA MOUNTAIN,-36.53556230508673,149.89064242731212
BENANDARAH,-35.62651366356269,150.21879804753857
MUMMEL,-34.66300742365956,149.56634813234547
MUMMULGUM,-28.8701459046675,152.79164253454027
MUNDAMIA,-34.88840020830529,150.5614903209287
MUNDARLO,-35.124740697380126,147.81999024106273
MUNDEROO,-35.848470939305216,147.82669081712535
MUNDONGO,-35.290736036909955,148.28048936183782
MUNGAY CREEK,-30.904328580321838,152.67524230236353
MUNGHORN,-32.38808470914592,149.82551046747486
MUNGINDI,-29.019431081787978,149.0820434541356
MUNGO,-33.76012765664917,143.09709212525055
MUNGO BRUSH,-32.50359189903632,152.33878367277697
MUNNI,-32.317980002836585,151.67102237885842
MUNYABLA,-35.45788118533982,146.91399463647113
MURGA,-33.35264685509044,148.5316988677342
MURRAH,-36.519758666692844,149.98385150201767
MURRAMI,-34.40709304986915,146.2610985652954
MURRAWOMBIE,-31.180952546587484,147.2241889818537
MURRAY DOWNS,-35.30882478611427,143.6445002977104
MURRAY GORGE,-36.444055392522586,148.10809280555944
MURRAYS BEACH,-33.11864874808276,151.62306633135523
BENDALONG,-35.229881935329985,150.50006144137348
MURRENGENBURG,-35.5352257383623,149.98505017470828
MURRIN BRIDGE,-33.20668355484954,146.37088842570336
MURRINGO,-34.28985147894489,148.54818022303243
MURRULEBALE,-34.705923024489834,147.41223009489343
MURRUMBATEMAN,-34.97431727660531,149.0291217356282
MURRUMBO,-32.39028698048232,150.24110234387672
MURRUMBUCCA,-36.10077049394077,149.05344838696192
MURRUMBURRAH,-34.54625149626081,148.3227676516887
MURRURUNDI,-31.776130181707725,150.8251528685524
BENDEMEER,-30.80339571215435,151.17672250413688
MURULLA,-31.836187196260703,150.86884033287933
MURWILLUMBAH,-28.33225705833624,153.38275467296725
MUSCLE CREEK,-32.27670847446347,151.0090715890379
MUSWELLBROOK,-32.31409046390577,150.90827014055662
MUTAWINTJI,-31.122531213459613,142.3861404351666
MUTTAMA,-34.80204373760661,148.13429508438568
MYALL CREEK,-29.778237651837856,150.72653715808735
MYALL LAKE,-32.42501376758796,152.38676040127046
MYALL PARK,-34.106322761973104,146.13550419483096
MYALLA,-36.447563696248245,149.10638010745248
ALECTOWN,-32.91427482507213,148.26801417183808
BENDICK MURRELL,-34.18086385148761,148.44958938847216
MYLESTOM,-30.471702421112948,153.038188373942
MYLNEFORD,-29.617654582151232,152.84186622708842
MYOCUM,-28.59595647172847,153.50613973016831
MYOLA,-35.02264321378319,150.67641963934838
MYRTLE CREEK,-29.14940449979663,153.0204496675495
MYRTLE MOUNTAIN,-36.85126655520434,149.68728414022374
MYRTLE PARK,-35.547378827641886,145.44389061127282
MYRTLEVILLE,-34.46802273086923,149.8262884750758
MYSTERY BAY,-36.31051939441417,150.12616510551092
MYUNA BAY,-33.05564702587636,151.53815273825433
BENDOLBA,-32.349965272098544,151.72933674250478
NABIAC,-32.119851253545164,152.39563100764263
NADGEE,-37.36617581267547,149.86011246209864
NAMBUCCA HEADS,-30.646871075069033,152.98436689257016
NAMOI RIVER,-30.590053058116165,150.8152065533117
NANA GLEN,-30.130439933773367,153.0103996427054
NANGUS,-35.02165973578399,147.9292972221518
NANIMA,-35.01581549545355,149.12990082191806
NAPIER LANE,-31.236298953494813,149.53386070692707
NAPOLEON REEF,-33.38870648827979,149.75021654165974
BENDOURA,-35.54087518412269,149.67975146221835
NARADHAN,-33.64509471033085,146.32119354122446
NARARA,-33.39581053193951,151.33533312728719
NARELLAN,-34.042762623415406,150.73217005434907
NARELLAN VALE,-34.052846979721295,150.7447174226356
NAREMBURN,-33.81696953201766,151.20075716069297
